pos_x_0,pos_y_0,pos_z_0,vel_x_0,vel_y_0,vel_z_0,acc_x_0,acc_y_0,acc_z_0,q_w_0,q_x_0,q_y_0,q_z_0,br_x_0,br_y_0,br_z_0,thrust_0,pos_x_1,pos_y_1,pos_z_1,vel_x_1,vel_y_1,vel_z_1,acc_x_1,acc_y_1,acc_z_1,q_w_1,q_x_1,q_y_1,q_z_1,br_x_1,br_y_1,br_z_1,thrust_1,pos_x_2,pos_y_2,pos_z_2,vel_x_2,vel_y_2,vel_z_2,acc_x_2,acc_y_2,acc_z_2,q_w_2,q_x_2,q_y_2,q_z_2,br_x_2,br_y_2,br_z_2,thrust_2,pos_x_3,pos_y_3,pos_z_3,vel_x_3,vel_y_3,vel_z_3,acc_x_3,acc_y_3,acc_z_3,q_w_3,q_x_3,q_y_3,q_z_3,br_x_3,br_y_3,br_z_3,thrust_3,pos_x_4,pos_y_4,pos_z_4,vel_x_4,vel_y_4,vel_z_4,acc_x_4,acc_y_4,acc_z_4,q_w_4,q_x_4,q_y_4,q_z_4,br_x_4,br_y_4,br_z_4,thrust_4,pos_x_5,pos_y_5,pos_z_5,vel_x_5,vel_y_5,vel_z_5,acc_x_5,acc_y_5,acc_z_5,q_w_5,q_x_5,q_y_5,q_z_5,br_x_5,br_y_5,br_z_5,thrust_5,pos_x_6,pos_y_6,pos_z_6,vel_x_6,vel_y_6,vel_z_6,acc_x_6,acc_y_6,acc_z_6,q_w_6,q_x_6,q_y_6,q_z_6,br_x_6,br_y_6,br_z_6,thrust_6,pos_x_7,pos_y_7,pos_z_7,vel_x_7,vel_y_7,vel_z_7,acc_x_7,acc_y_7,acc_z_7,q_w_7,q_x_7,q_y_7,q_z_7,br_x_7,br_y_7,br_z_7,thrust_7,pos_x_8,pos_y_8,pos_z_8,vel_x_8,vel_y_8,vel_z_8,acc_x_8,acc_y_8,acc_z_8,q_w_8,q_x_8,q_y_8,q_z_8,br_x_8,br_y_8,br_z_8,thrust_8,pos_x_9,pos_y_9,pos_z_9,vel_x_9,vel_y_9,vel_z_9,acc_x_9,acc_y_9,acc_z_9,q_w_9,q_x_9,q_y_9,q_z_9,br_x_9,br_y_9,br_z_9,thrust_9,pos_x_10,pos_y_10,pos_z_10,vel_x_10,vel_y_10,vel_z_10,acc_x_10,acc_y_10,acc_z_10,q_w_10,q_x_10,q_y_10,q_z_10,br_x_10,br_y_10,br_z_10,thrust_10,rel_cost
-19.91885563,20.00008388,1.90007403,1.82629780,0.09066763,0.16163428,0.00000000,0.00000000,0.00000000,0.99969244,0.00000000,0.00000000,0.02479989,0.00000000,0.00000000,0.00000000,9.81000000,-19.73622585,20.00915064,1.91623746,1.82629780,0.09066763,0.16163428,0.00000000,0.00000000,0.00000000,0.99969244,0.00000000,0.00000000,0.02479989,0.00000000,0.00000000,0.00000000,9.81000000,-19.50737649,20.02150515,1.92836595,2.28849356,0.12354502,0.12128487,4.62195753,0.32877394,-0.40349414,0.97357277,-0.00998936,0.22664218,0.02626019,-0.07817517,4.57642494,-0.00000000,10.48584457,-19.18608799,20.04043513,1.93242455,3.21288506,0.18929981,0.04058604,9.24391506,0.65754789,-0.80698828,0.92068930,-0.01618780,0.38901772,0.02709952,-0.04161326,3.42126337,0.00000000,12.92039299,-18.72932442,20.06859484,1.92491578,4.56763571,0.28159716,-0.07508769,13.54750642,0.92297343,-1.15673730,0.87634332,-0.01790438,0.48059699,0.02698790,0.00846145,2.03581545,0.00000000,16.10173176,-18.13105994,20.10127430,1.90859002,5.98264481,0.32679454,-0.16325762,14.15009108,0.45197386,-0.88169930,0.87529700,-0.00224389,0.48299015,0.02388820,0.30541606,0.04317010,-0.00000000,16.73750015,-17.40914616,20.12901236,1.89022853,7.21913776,0.27738067,-0.18361491,12.36492948,-0.49413870,-0.20357291,0.89794574,0.02599436,0.43899927,0.01724451,0.53157504,-1.00646845,0.00000000,15.66585763,-16.58189266,20.14236622,1.87662011,8.27253495,0.13353856,-0.13608416,10.53397184,-1.43842112,0.47530745,0.92064928,0.05592776,0.38629235,0.00743026,0.58799156,-1.16528921,0.00000000,14.79260516,-15.67120919,20.13774226,1.87097507,9.10683478,-0.04623964,-0.05645038,8.34299836,-1.79778195,0.79633784,0.94315512,0.06918291,0.32506372,-0.00239440,0.28679328,-1.31503771,0.00000000,13.61367121,-14.70458570,20.12061315,1.87095704,9.66623481,-0.17129107,-0.00018030,5.59400031,-1.25051433,0.56270078,0.96827215,0.05232444,0.24420810,-0.00857849,-0.29940362,-1.70168533,-0.00000000,11.85114117,-13.70999222,20.09723147,1.87375252,9.94593483,-0.23381679,0.02795474,2.79700016,-0.62525717,0.28135039,0.99037495,0.02850494,0.13494237,-0.01163965,-0.44521570,-2.23736491,0.00000000,10.49044847,80.91540676
-19.91885563,20.00008388,1.90007403,1.82904517,0.00131349,0.17116340,0.00000000,0.00000000,0.00000000,0.99999994,0.00000000,0.00000000,0.00035906,0.00000000,0.00000000,0.00000000,9.81000000,-19.73595111,20.00021523,1.91719037,1.82904517,0.00131349,0.17116340,0.00000000,0.00000000,0.00000000,0.99999994,0.00000000,0.00000000,0.00035906,0.00000000,0.00000000,0.00000000,9.81000000,-19.50675626,20.00032478,1.92995197,2.29194857,0.00109553,0.12761597,4.62903397,-0.00217964,-0.43547426,0.97381819,0.00016137,0.22732808,0.00023274,0.00435206,4.58665889,-0.00000000,10.45512760,-19.18498072,20.00039074,1.93400408,3.21775536,0.00065960,0.04052112,9.25806793,-0.00435929,-0.87094851,0.92048998,0.00022405,0.39076610,0.00009434,0.00232669,3.44261194,0.00000000,12.86928445,-18.72753430,20.00039385,1.92557797,4.57446418,0.00003112,-0.08426114,13.56708813,-0.00628480,-1.24782258,0.87570053,0.00022532,0.48285456,0.00000298,0.00090785,2.04895497,0.00000000,16.04296737,-18.12852840,20.00034441,1.90771716,5.99005901,-0.00049448,-0.17860808,14.15594835,-0.00525595,-0.94346943,0.87487694,0.00015984,0.48434523,-0.00003611,-0.00076773,0.03405997,0.00000000,16.70348064,-17.40607545,20.00027175,1.88786020,7.22452954,-0.00072658,-0.19856957,12.34470534,-0.00232106,-0.19961485,0.89841441,0.00006049,0.43914866,-0.00004518,-0.00164499,-1.01927434,0.00000000,15.64452805,-16.57874508,20.00020531,1.87345303,8.27330366,-0.00066434,-0.14407166,10.48774120,0.00062242,0.54497904,0.92265607,-0.00003837,0.38562387,-0.00003704,-0.00179229,-1.17533826,0.00000000,14.73832781,-15.66853859,20.00016063,1.86799017,9.10206491,-0.00044678,-0.05462863,8.28761242,0.00217565,0.89443036,0.94623268,-0.00009286,0.32348680,-0.00002322,-0.00103577,-1.32943472,-0.00000000,13.53770120,-14.70277631,20.00013170,1.86884142,9.65762275,-0.00028938,0.00851244,5.55557847,0.00157401,0.63141069,0.97026156,-0.00007221,0.24205886,-0.00001454,0.00040415,-1.69849604,-0.00000000,11.82740512,-13.70923615,20.00011063,1.87284971,9.93540168,-0.00021067,0.04008298,2.77778924,0.00078701,0.31570535,0.99105254,-0.00003923,0.13347230,-0.00001051,0.00067370,-2.21230794,0.00000000,10.49981059,81.28578649
-19.91885563,20.00008388,1.90007403,1.82904517,0.00131349,0.17116340,0.00000000,0.00000000,0.00000000,0.99999994,0.00000000,0.00000000,0.00035906,0.00000000,0.00000000,0.00000000,9.81000000,-19.73595111,20.00021523,1.91719037,1.82904517,0.00131349,0.17116340,0.00000000,0.00000000,0.00000000,0.99999994,0.00000000,0.00000000,0.00035906,0.00000000,0.00000000,0.00000000,9.81000000,-19.50675626,20.00032478,1.92995197,2.29194857,0.00109553,0.12761597,4.62903397,-0.00217964,-0.43547426,0.97381819,0.00016137,0.22732808,0.00023274,0.00435206,4.58665889,-0.00000000,10.45512760,-19.18498072,20.00039074,1.93400408,3.21775536,0.00065960,0.04052112,9.25806793,-0.00435929,-0.87094851,0.92048998,0.00022405,0.39076610,0.00009434,0.00232669,3.44261194,0.00000000,12.86928445,-18.72753430,20.00039385,1.92557797,4.57446418,0.00003112,-0.08426114,13.56708813,-0.00628480,-1.24782258,0.87570053,0.00022532,0.48285456,0.00000298,0.00090785,2.04895497,0.00000000,16.04296737,-18.12852840,20.00034441,1.90771716,5.99005901,-0.00049448,-0.17860808,14.15594835,-0.00525595,-0.94346943,0.87487694,0.00015984,0.48434523,-0.00003611,-0.00076773,0.03405997,0.00000000,16.70348064,-17.40607545,20.00027175,1.88786020,7.22452954,-0.00072658,-0.19856957,12.34470534,-0.00232106,-0.19961485,0.89841441,0.00006049,0.43914866,-0.00004518,-0.00164499,-1.01927434,0.00000000,15.64452805,-16.57874508,20.00020531,1.87345303,8.27330366,-0.00066434,-0.14407166,10.48774120,0.00062242,0.54497904,0.92265607,-0.00003837,0.38562387,-0.00003704,-0.00179229,-1.17533826,0.00000000,14.73832781,-15.66853859,20.00016063,1.86799017,9.10206491,-0.00044678,-0.05462863,8.28761242,0.00217565,0.89443036,0.94623268,-0.00009286,0.32348680,-0.00002322,-0.00103577,-1.32943472,-0.00000000,13.53770120,-14.70277631,20.00013170,1.86884142,9.65762275,-0.00028938,0.00851244,5.55557847,0.00157401,0.63141069,0.97026156,-0.00007221,0.24205886,-0.00001454,0.00040415,-1.69849604,-0.00000000,11.82740512,-13.70923615,20.00011063,1.87284971,9.93540168,-0.00021067,0.04008298,2.77778924,0.00078701,0.31570535,0.99105254,-0.00003923,0.13347230,-0.00001051,0.00067370,-2.21230794,0.00000000,10.49981059,81.28578649
-19.91885563,20.00008388,1.90007403,1.81897599,0.20402576,0.02814674,0.00000000,0.00000000,0.00000000,0.99844084,0.00000000,0.00000000,0.05582013,0.00000000,0.00000000,0.00000000,9.81000000,-19.73695803,20.02048646,1.90288870,1.81897599,0.20402576,0.02814674,0.00000000,0.00000000,0.00000000,0.99844084,0.00000000,0.00000000,0.05582013,0.00000000,0.00000000,0.00000000,9.81000000,-19.50854619,20.04095513,1.90504916,2.28411846,0.20468679,0.02160458,4.65142474,0.00661027,-0.06542169,0.97433633,0.00955190,0.22063360,0.04356932,0.39119620,4.43630298,0.00000000,10.79780544,-19.18710584,20.06155602,1.90590119,3.21440341,0.20600884,0.00852024,9.30284948,0.01322054,-0.13084338,0.92715181,0.01142002,0.37333391,0.02967981,0.20026799,3.19598041,0.00000000,13.42494902,-18.72936026,20.08174171,1.90498155,4.57745584,0.20185688,-0.00919635,13.63052435,-0.04151966,-0.17716589,0.88779701,0.01153143,0.45967454,0.01956555,0.12059941,1.89652956,0.00000000,16.69084812,-18.12966861,20.09383280,1.90404731,5.99691653,0.12091096,-0.00934239,14.19460689,-0.80945913,-0.00146043,0.88535338,0.03114086,0.46378874,0.00892442,0.44818728,0.08559078,-0.00000000,17.27279761,-17.40667130,20.08554863,1.90628796,7.22997307,-0.08284175,0.02240649,12.33056535,-2.03752715,0.31748888,0.90264316,0.06772830,0.42499584,-0.00517112,0.75652666,-0.86728331,0.00000000,16.08603089,-16.57946544,20.04468396,1.91488123,8.27205857,-0.40864663,0.08593273,10.42085505,-3.25804878,0.63526231,0.91930699,0.10794881,0.37776544,-0.02269343,0.85332843,-1.01851825,0.00000000,15.11001676,-15.67026815,19.96816272,1.93086689,9.09197289,-0.76521243,0.15985661,8.19914319,-3.56565804,0.73923880,0.93801892,0.12394841,0.32125477,-0.03940383,0.40933293,-1.20888238,-0.00000000,13.82845999,-14.70613257,19.86705895,1.95197085,9.64135579,-1.01103775,0.21103961,5.49382893,-2.45825313,0.51183004,0.96404920,0.09397898,0.24338450,-0.05040915,-0.47964983,-1.68571084,-0.00000000,11.94844509,-13.71452785,19.75366391,1.97563397,9.91604723,-1.13395040,0.23663111,2.74691447,-1.22912656,0.25591502,0.98786615,0.05150485,0.13527012,-0.05630029,-0.71713772,-2.26306883,0.00000000,10.50613803,81.73539297
-19.91885563,20.00008388,1.90007403,1.82859894,-0.00446162,0.16312160,0.00000000,0.00000000,0.00000000,0.99999926,0.00000000,0.00000000,-0.00121995,0.00000000,0.00000000,0.00000000,9.81000000,-19.73599574,19.99963772,1.91638619,1.82859894,-0.00446162,0.16312160,0.00000000,0.00000000,0.00000000,0.99999926,0.00000000,0.00000000,-0.00121995,0.00000000,0.00000000,0.00000000,9.81000000,-19.50685119,19.99747254,1.92931894,2.29144543,-0.02165180,0.12932753,4.62846482,-0.17190187,-0.33794075,0.97424570,0.00730276,0.22532376,-0.00460271,0.12584526,4.54619276,0.00000000,10.54382015,-19.18513735,19.99186932,1.93549288,3.21713839,-0.05603218,0.06173938,9.25692965,-0.34380374,-0.67588150,0.92249522,0.01096480,0.38576913,-0.00803284,0.06653542,3.37561216,0.00000000,13.00926855,-18.72777152,19.98120975,1.93193327,4.57365838,-0.10659567,-0.03559610,13.56519990,-0.50563489,-0.97335480,0.87901900,0.01220448,0.47652046,-0.01024201,0.02905435,2.01299371,0.00000000,16.19742613,-18.12889360,19.96504625,1.92036972,5.98877920,-0.16163505,-0.11563549,14.15120820,-0.55039386,-0.80039394,0.87649559,0.01221445,0.48110958,-0.01182600,0.01479386,0.10436437,0.00000000,16.78489286,-17.40665810,19.94368652,1.90556690,7.22235492,-0.21359729,-0.14802821,12.33575718,-0.51962239,-0.32392717,0.89691125,0.01207225,0.44184686,-0.01325994,0.01614458,-0.88537807,-0.00000000,15.57005107,-16.57967643,19.91745753,1.89230147,8.26981674,-0.26228993,-0.13265428,10.47461818,-0.48692639,0.15373932,0.91880400,0.01206811,0.39426053,-0.01456698,0.01914306,-1.04786837,0.00000000,14.46481333,-15.66995817,19.88708564,1.88303488,9.09718265,-0.30371885,-0.09266591,8.27365912,-0.41428919,0.39988373,0.94235011,0.01114368,0.33407300,-0.01572629,0.00447564,-1.29312431,0.00000000,13.14788182,-14.70478011,19.85391633,1.87663998,9.65178055,-0.33169316,-0.06394902,5.54597897,-0.27974312,0.28716889,0.96842077,0.00826292,0.24862864,-0.01663547,-0.02637090,-1.78806165,0.00000000,11.52340916,-13.71187216,19.81934829,1.87168092,9.92907949,-0.34568032,-0.04959057,2.77298949,-0.13987156,0.14358445,0.99061414,0.00447355,0.13552282,-0.01723886,-0.03599362,-2.30752347,0.00000000,10.33358012,81.75332046
