pos_x_0,pos_y_0,pos_z_0,vel_x_0,vel_y_0,vel_z_0,acc_x_0,acc_y_0,acc_z_0,q_w_0,q_x_0,q_y_0,q_z_0,br_x_0,br_y_0,br_z_0,thrust_0,pos_x_1,pos_y_1,pos_z_1,vel_x_1,vel_y_1,vel_z_1,acc_x_1,acc_y_1,acc_z_1,q_w_1,q_x_1,q_y_1,q_z_1,br_x_1,br_y_1,br_z_1,thrust_1,pos_x_2,pos_y_2,pos_z_2,vel_x_2,vel_y_2,vel_z_2,acc_x_2,acc_y_2,acc_z_2,q_w_2,q_x_2,q_y_2,q_z_2,br_x_2,br_y_2,br_z_2,thrust_2,pos_x_3,pos_y_3,pos_z_3,vel_x_3,vel_y_3,vel_z_3,acc_x_3,acc_y_3,acc_z_3,q_w_3,q_x_3,q_y_3,q_z_3,br_x_3,br_y_3,br_z_3,thrust_3,pos_x_4,pos_y_4,pos_z_4,vel_x_4,vel_y_4,vel_z_4,acc_x_4,acc_y_4,acc_z_4,q_w_4,q_x_4,q_y_4,q_z_4,br_x_4,br_y_4,br_z_4,thrust_4,pos_x_5,pos_y_5,pos_z_5,vel_x_5,vel_y_5,vel_z_5,acc_x_5,acc_y_5,acc_z_5,q_w_5,q_x_5,q_y_5,q_z_5,br_x_5,br_y_5,br_z_5,thrust_5,pos_x_6,pos_y_6,pos_z_6,vel_x_6,vel_y_6,vel_z_6,acc_x_6,acc_y_6,acc_z_6,q_w_6,q_x_6,q_y_6,q_z_6,br_x_6,br_y_6,br_z_6,thrust_6,pos_x_7,pos_y_7,pos_z_7,vel_x_7,vel_y_7,vel_z_7,acc_x_7,acc_y_7,acc_z_7,q_w_7,q_x_7,q_y_7,q_z_7,br_x_7,br_y_7,br_z_7,thrust_7,pos_x_8,pos_y_8,pos_z_8,vel_x_8,vel_y_8,vel_z_8,acc_x_8,acc_y_8,acc_z_8,q_w_8,q_x_8,q_y_8,q_z_8,br_x_8,br_y_8,br_z_8,thrust_8,pos_x_9,pos_y_9,pos_z_9,vel_x_9,vel_y_9,vel_z_9,acc_x_9,acc_y_9,acc_z_9,q_w_9,q_x_9,q_y_9,q_z_9,br_x_9,br_y_9,br_z_9,thrust_9,pos_x_10,pos_y_10,pos_z_10,vel_x_10,vel_y_10,vel_z_10,acc_x_10,acc_y_10,acc_z_10,q_w_10,q_x_10,q_y_10,q_z_10,br_x_10,br_y_10,br_z_10,thrust_10,rel_cost
-7.78337920,20.06187941,1.92573438,9.91466229,0.04386247,-0.02387531,0.00000000,0.00000000,0.00000000,0.99999755,0.00000000,0.00000000,0.00221198,0.00000000,0.00000000,0.00000000,9.81000000,-6.79191297,20.06626566,1.92334685,9.91466229,0.04386247,-0.02387531,0.00000000,0.00000000,0.00000000,0.99999755,0.00000000,0.00000000,0.00221198,0.00000000,0.00000000,0.00000000,9.81000000,-5.79128710,20.06988900,1.92028055,10.00625869,0.03623340,-0.03066304,0.91596396,-0.07629073,-0.06787731,0.99889247,0.00398734,0.04684733,0.00180853,0.08147295,0.93714508,0.00000000,9.78538526,-4.77234195,20.07198652,1.91585670,10.18945148,0.02097525,-0.04423850,1.83192792,-0.15258146,-0.13575462,0.99559512,0.00787777,0.09341974,0.00102473,0.07970419,0.93370598,-0.00000000,9.84734811,-3.72694395,20.07188613,1.90950676,10.45398005,-0.00100389,-0.06349937,2.64528569,-0.21979145,-0.19260873,0.99094866,0.01110912,0.13378093,-0.00004758,0.06704663,0.81241118,0.00000000,9.97697647,-2.65888748,20.06997137,1.90194364,10.68056470,-0.01914768,-0.07563120,2.26584653,-0.18143783,-0.12131824,0.99336877,0.00907399,0.11460958,-0.00089043,-0.03825501,-0.38667879,0.00000000,9.95176037,-1.57966240,20.06730681,1.89470698,10.79225080,-0.02664554,-0.07236658,1.11686095,-0.07497866,0.03264620,0.99839674,0.00372084,0.05646754,-0.00123249,-0.10501354,-1.16752388,-0.00000000,9.90609330,-0.50079993,20.06495984,1.88933522,10.78862468,-0.02346972,-0.05371760,-0.03626115,0.03175821,0.18648973,0.99999650,-0.00158648,-0.00181540,-0.00108770,-0.10495642,-1.16637550,-0.00000000,9.99660595,0.57138226,20.06348338,1.88646751,10.72182187,-0.01476458,-0.02867714,-0.66802816,0.08705145,0.25040461,0.99944098,-0.00429636,-0.03314816,-0.00068814,-0.05374981,-0.62682805,0.00000000,10.08293511,1.63864750,20.06263299,1.88534909,10.67265239,-0.00850387,-0.01118414,-0.49169478,0.06260707,0.17493006,0.99969241,-0.00312238,-0.02460037,-0.00039827,0.02361192,0.17101243,0.00000000,9.99722520,2.70345426,20.06209564,1.88510533,10.64806765,-0.00537351,-0.00243763,-0.24584739,0.03130353,0.08746503,0.99992163,-0.00157789,-0.01241719,-0.00025230,0.03090580,0.24370521,-0.00000000,9.90056740,102.87102188
-7.78337920,20.06187941,1.92573438,9.91466229,0.04386247,-0.02387531,0.00000000,0.00000000,0.00000000,0.99999755,0.00000000,0.00000000,0.00221198,0.00000000,0.00000000,0.00000000,9.81000000,-6.79191297,20.06626566,1.92334685,9.91466229,0.04386247,-0.02387531,0.00000000,0.00000000,0.00000000,0.99999755,0.00000000,0.00000000,0.00221198,0.00000000,0.00000000,0.00000000,9.81000000,-5.79128710,20.06988900,1.92028055,10.00625869,0.03623340,-0.03066304,0.91596396,-0.07629073,-0.06787731,0.99889247,0.00398734,0.04684733,0.00180853,0.08147295,0.93714508,0.00000000,9.78538526,-4.77234195,20.07198652,1.91585670,10.18945148,0.02097525,-0.04423850,1.83192792,-0.15258146,-0.13575462,0.99559512,0.00787777,0.09341974,0.00102473,0.07970419,0.93370598,-0.00000000,9.84734811,-3.72694395,20.07188613,1.90950676,10.45398005,-0.00100389,-0.06349937,2.64528569,-0.21979145,-0.19260873,0.99094866,0.01110912,0.13378093,-0.00004758,0.06704663,0.81241118,0.00000000,9.97697647,-2.65888748,20.06997137,1.90194364,10.68056470,-0.01914768,-0.07563120,2.26584653,-0.18143783,-0.12131824,0.99336877,0.00907399,0.11460958,-0.00089043,-0.03825501,-0.38667879,0.00000000,9.95176037,-1.57966240,20.06730681,1.89470698,10.79225080,-0.02664554,-0.07236658,1.11686095,-0.07497866,0.03264620,0.99839674,0.00372084,0.05646754,-0.00123249,-0.10501354,-1.16752388,-0.00000000,9.90609330,-0.50079993,20.06495984,1.88933522,10.78862468,-0.02346972,-0.05371760,-0.03626115,0.03175821,0.18648973,0.99999650,-0.00158648,-0.00181540,-0.00108770,-0.10495642,-1.16637550,-0.00000000,9.99660595,0.57138226,20.06348338,1.88646751,10.72182187,-0.01476458,-0.02867714,-0.66802816,0.08705145,0.25040461,0.99944098,-0.00429636,-0.03314816,-0.00068814,-0.05374981,-0.62682805,0.00000000,10.08293511,1.63864750,20.06263299,1.88534909,10.67265239,-0.00850387,-0.01118414,-0.49169478,0.06260707,0.17493006,0.99969241,-0.00312238,-0.02460037,-0.00039827,0.02361192,0.17101243,0.00000000,9.99722520,2.70345426,20.06209564,1.88510533,10.64806765,-0.00537351,-0.00243763,-0.24584739,0.03130353,0.08746503,0.99992163,-0.00157789,-0.01241719,-0.00025230,0.03090580,0.24370521,-0.00000000,9.90056740,102.87102188
-7.78337920,20.06187941,1.92573438,9.91305725,-0.23497897,-0.19864212,0.00000000,0.00000000,0.00000000,0.99992979,0.00000000,0.00000000,-0.01184950,0.00000000,0.00000000,0.00000000,9.81000000,-6.79207348,20.03838151,1.90587017,9.91305725,-0.23497897,-0.19864212,0.00000000,0.00000000,0.00000000,0.99992979,0.00000000,0.00000000,-0.01184950,0.00000000,0.00000000,0.00000000,9.81000000,-5.79159493,20.02303330,1.88929281,10.00478547,-0.15348210,-0.16577356,0.91728228,0.81496873,0.32868563,0.99815803,-0.04031625,0.04468270,-0.00765586,-0.81364640,0.88797933,0.00000000,10.21266504,-4.77277074,20.02398447,1.87928917,10.18824193,0.00951165,-0.10003643,1.83456455,1.62993745,0.65737126,0.99337816,-0.07626781,0.08592344,0.00046370,-0.72883757,0.82188203,-0.00000000,10.75119455,-3.72745477,20.04819676,1.87874814,10.45315961,0.24212290,-0.00541026,2.64917684,2.32611253,0.94626165,0.98742057,-0.10267292,0.11970029,0.01143411,-0.54490796,0.67117419,0.00000000,11.31928010,-2.65943631,20.08882216,1.88593244,10.68018467,0.40625405,0.07184296,2.27025056,1.64131146,0.77253228,0.99146130,-0.07359654,0.10598459,0.01884984,0.55886070,-0.30770542,0.00000000,10.94705122,-1.58020485,20.13010315,1.89612012,10.79231461,0.41280985,0.10187682,1.12129938,0.06555802,0.30033857,0.99828776,-0.00217155,0.05525008,0.01908545,1.40437151,-1.05468132,0.00000000,10.17253931,-0.50129143,20.15627975,1.90457813,10.78913413,0.26176603,0.08458007,-0.03180476,-1.51043822,-0.17296752,0.99690559,0.07762984,-0.00257687,0.01209169,1.58463790,-1.18086507,0.00000000,9.75473374,0.57098136,20.16035585,1.90889062,10.72272797,0.04076097,0.04312495,-0.66406165,-2.21005055,-0.41455115,0.99275604,0.11498538,-0.03478848,0.00188691,0.74837138,-0.66184327,-0.00000000,9.67469692,1.63836411,20.14891927,1.91023347,10.67382744,-0.11436581,0.01342846,-0.48900530,-1.55126783,-0.29696498,0.99640333,0.08079155,-0.02499286,-0.00533788,-0.69339087,0.17681206,0.00000000,9.65108249,2.70330182,20.12972635,1.91009149,10.64937717,-0.19192920,-0.00141979,-0.24450265,-0.77563391,-0.14848249,0.99907805,0.04014629,-0.01225873,-0.00900225,-0.81863094,0.24192829,0.00000000,9.69568513,104.55443026
-7.78337920,20.06187941,1.92573438,9.90953151,0.19685650,0.24867833,0.00000000,0.00000000,0.00000000,0.99995068,0.00000000,0.00000000,0.00993121,0.00000000,0.00000000,0.00000000,9.81000000,-6.79242605,20.08156506,1.95060221,9.90953151,0.19685650,0.24867833,0.00000000,0.00000000,0.00000000,0.99995068,0.00000000,0.00000000,0.00993121,0.00000000,0.00000000,0.00000000,9.81000000,-5.79235055,20.10418270,1.97494375,10.00075497,0.22617639,0.24341537,0.91223456,0.29319899,-0.05262957,0.99873864,-0.01444293,0.04674419,0.01129226,-0.27838142,0.93846357,-0.00000000,9.80430596,-4.77403036,20.13266432,1.99823270,10.18320188,0.28481619,0.23288946,1.82446912,0.58639797,-0.10525913,0.99515526,-0.02848264,0.09306526,0.01391414,-0.27107964,0.93210933,-0.00000000,9.89214564,-3.72935757,20.16921311,2.01996142,10.44672799,0.36548795,0.21728723,2.63526107,0.80671754,-0.15602225,0.99019818,-0.03824473,0.13321056,0.01731618,-0.18934567,0.80995858,0.00000000,10.03965540,-2.66201694,20.20756005,2.03983926,10.67340626,0.38346934,0.19877844,2.26678277,0.17981394,-0.18508794,0.99311954,-0.00707925,0.11552232,0.01783442,0.61059737,-0.37175708,-0.00000000,9.88987206,-1.58330146,20.23597013,2.05771555,10.78715476,0.28410081,0.17876291,1.13748495,-0.99368526,-0.20015527,0.99687720,0.05199759,0.05796413,0.01312508,1.16364509,-1.17562275,-0.00000000,9.72781569,-0.50454625,20.24274517,2.07344703,10.78755218,0.06775040,0.15731478,0.00397421,-2.16350415,-0.21448129,0.99385408,0.11065402,-0.00014421,0.00312088,1.17446017,-1.17806454,-0.00000000,9.83639900,0.56799406,20.22386112,2.08719524,10.72540304,-0.18884045,0.13748211,-0.62149143,-2.56590849,-0.19832671,0.99099265,0.13014830,-0.03031307,-0.00872345,0.39726916,-0.62392053,-0.00000000,9.96766780,1.63593949,20.18718887,2.09959418,10.67945432,-0.36672248,0.12398939,-0.45948718,-1.77882029,-0.13492720,0.99545473,0.09110192,-0.02187185,-0.01708646,-0.79339321,0.13498798,-0.00000000,9.84796242,2.70158748,20.14162252,2.11131849,10.65647996,-0.45566349,0.11724303,-0.22974359,-0.88941014,-0.06746360,0.99866746,0.04573510,-0.01077699,-0.02134140,-0.91588109,0.19526218,-0.00000000,9.78574719,109.89409538
-7.78337920,20.06187941,1.92573438,9.84259807,1.37214328,-0.25868375,0.00000000,0.00000000,0.00000000,0.99760263,0.00000000,0.00000000,0.06920260,0.00000000,0.00000000,0.00000000,9.81000000,-6.79911939,20.19909374,1.89986600,9.84259807,1.37214328,-0.25868375,0.00000000,0.00000000,0.00000000,0.99760263,0.00000000,0.00000000,0.06920260,0.00000000,0.00000000,0.00000000,9.81000000,-5.80417209,20.31189753,1.88350441,9.94947303,1.12803793,-0.16361594,1.06874962,-2.44105343,0.95067815,0.99106176,0.11347808,0.04222630,0.05600224,2.31928228,0.71689694,-0.00000000,11.08571882,-4.78784980,20.37588026,1.88615638,10.16322295,0.63982725,0.02651969,2.13749924,-4.88210687,1.90135629,0.97680557,0.19669853,0.07884811,0.03071707,1.73147442,0.63166361,0.00000000,12.86700185,-3.74070075,20.36915223,1.91563074,10.47149044,-0.06728024,0.29474357,3.08267488,-7.07107490,2.68223875,0.96198729,0.24997114,0.10993332,-0.00309039,1.15544605,0.50545811,-0.00000000,14.68192813,-2.66763868,20.29912871,1.95999756,10.73062074,-0.70023526,0.44366820,2.59130296,-6.32955017,1.48924628,0.96268286,0.24531702,0.10989427,-0.03137695,-0.02682467,-0.14478411,-0.00000000,13.20799087,-1.58284534,20.19213133,1.99459224,10.84793335,-1.06997375,0.34594681,1.17312617,-3.69738493,-0.97721387,0.97748966,0.19252041,0.07167426,-0.04809012,-1.01849007,-0.89659607,-0.00000000,9.64701981,-0.50054596,20.07461870,1.99478637,10.82299380,-1.17512632,0.00194134,-0.24939554,-1.05152568,-3.44005471,0.99501513,0.08259087,-0.01492627,-0.05385952,-2.13955495,-1.84361750,0.00000000,6.46096799,0.57169535,19.96235941,1.95085781,10.72241309,-1.12259290,-0.43928559,-1.00580707,0.52533417,-4.41226923,0.99328532,-0.04303415,-0.09403945,-0.05185475,-2.43788393,-1.68784812,0.00000000,5.51571585,1.63663918,19.85455257,1.87618912,10.64943831,-1.07806841,-0.74668688,-0.72974784,0.44524495,-3.07401294,0.99673928,-0.03009539,-0.05543207,-0.05032257,0.22460099,0.78529597,0.00000000,6.79001449,2.69793427,19.74897195,1.78615037,10.61295092,-1.05580616,-0.90038753,-0.36487392,0.22262247,-1.53700647,0.99843861,-0.01233304,-0.02266913,-0.04954146,0.32366001,0.67228789,0.00000000,8.28402775,114.07023658
