pos_x_0,pos_y_0,pos_z_0,vel_x_0,vel_y_0,vel_z_0,acc_x_0,acc_y_0,acc_z_0,q_w_0,q_x_0,q_y_0,q_z_0,br_x_0,br_y_0,br_z_0,thrust_0,pos_x_1,pos_y_1,pos_z_1,vel_x_1,vel_y_1,vel_z_1,acc_x_1,acc_y_1,acc_z_1,q_w_1,q_x_1,q_y_1,q_z_1,br_x_1,br_y_1,br_z_1,thrust_1,pos_x_2,pos_y_2,pos_z_2,vel_x_2,vel_y_2,vel_z_2,acc_x_2,acc_y_2,acc_z_2,q_w_2,q_x_2,q_y_2,q_z_2,br_x_2,br_y_2,br_z_2,thrust_2,pos_x_3,pos_y_3,pos_z_3,vel_x_3,vel_y_3,vel_z_3,acc_x_3,acc_y_3,acc_z_3,q_w_3,q_x_3,q_y_3,q_z_3,br_x_3,br_y_3,br_z_3,thrust_3,pos_x_4,pos_y_4,pos_z_4,vel_x_4,vel_y_4,vel_z_4,acc_x_4,acc_y_4,acc_z_4,q_w_4,q_x_4,q_y_4,q_z_4,br_x_4,br_y_4,br_z_4,thrust_4,pos_x_5,pos_y_5,pos_z_5,vel_x_5,vel_y_5,vel_z_5,acc_x_5,acc_y_5,acc_z_5,q_w_5,q_x_5,q_y_5,q_z_5,br_x_5,br_y_5,br_z_5,thrust_5,pos_x_6,pos_y_6,pos_z_6,vel_x_6,vel_y_6,vel_z_6,acc_x_6,acc_y_6,acc_z_6,q_w_6,q_x_6,q_y_6,q_z_6,br_x_6,br_y_6,br_z_6,thrust_6,pos_x_7,pos_y_7,pos_z_7,vel_x_7,vel_y_7,vel_z_7,acc_x_7,acc_y_7,acc_z_7,q_w_7,q_x_7,q_y_7,q_z_7,br_x_7,br_y_7,br_z_7,thrust_7,pos_x_8,pos_y_8,pos_z_8,vel_x_8,vel_y_8,vel_z_8,acc_x_8,acc_y_8,acc_z_8,q_w_8,q_x_8,q_y_8,q_z_8,br_x_8,br_y_8,br_z_8,thrust_8,pos_x_9,pos_y_9,pos_z_9,vel_x_9,vel_y_9,vel_z_9,acc_x_9,acc_y_9,acc_z_9,q_w_9,q_x_9,q_y_9,q_z_9,br_x_9,br_y_9,br_z_9,thrust_9,pos_x_10,pos_y_10,pos_z_10,vel_x_10,vel_y_10,vel_z_10,acc_x_10,acc_y_10,acc_z_10,q_w_10,q_x_10,q_y_10,q_z_10,br_x_10,br_y_10,br_z_10,thrust_10,rel_cost
-4.51076033,20.08181164,1.92901730,10.14438970,0.03572673,-0.04416666,0.00000000,0.00000000,0.00000000,0.99999845,0.00000000,0.00000000,0.00176090,0.00000000,0.00000000,0.00000000,9.81000000,-3.49632136,20.08538431,1.92460063,10.14438970,0.03572673,-0.04416666,0.00000000,0.00000000,0.00000000,0.99999845,0.00000000,0.00000000,0.00176090,0.00000000,0.00000000,0.00000000,9.81000000,-2.47264886,20.08833463,1.91979437,10.23672501,0.02950314,-0.04806269,0.92335317,-0.06223594,-0.03896031,0.99888450,0.00324192,0.04708683,0.00143943,0.06621994,0.94199114,0.00000000,9.81476800,-1.43050929,20.09004022,1.91420889,10.42139565,0.01705595,-0.05585475,1.84670634,-0.12447188,-0.07792063,0.99558771,0.00638677,0.09361444,0.00081470,0.06441105,0.93286698,0.00000000,9.90652242,-0.36166609,20.08995288,1.90753127,10.68843200,-0.00087343,-0.06677624,2.67036348,-0.17929375,-0.10921487,0.99095536,0.00898421,0.13389085,-0.00004049,0.05388460,0.81076427,0.00000000,10.06321119,0.73052765,20.08838627,1.90033973,10.92193742,-0.01566614,-0.07191533,2.33505423,-0.14792709,-0.05139096,0.99308584,0.00733772,0.11715871,-0.00071223,-0.03095567,-0.33748114,0.00000000,10.03517868,1.83524164,20.08621010,1.89378749,11.04713989,-0.02176163,-0.06552248,1.25202474,-0.06095493,0.06392853,0.99800698,0.00300612,0.06302429,-0.00098298,-0.08498271,-1.08740498,-0.00000000,9.95317769,2.94159921,20.08429637,1.88902535,11.06357570,-0.01913733,-0.04762136,0.16435812,0.02624298,0.17901125,0.99996493,-0.00132057,0.00822495,-0.00086485,-0.08560682,-1.09689960,-0.00000000,9.99039779,4.04341862,20.08309645,1.88648713,11.01819411,-0.01199924,-0.02538215,-0.45381597,0.07138094,0.22239205,0.99973812,-0.00354242,-0.02260171,-0.00054438,-0.04412912,-0.61660680,0.00000000,10.04290468,5.14179526,20.08240978,1.88549527,10.98376644,-0.00686664,-0.00991866,-0.34427665,0.05132596,0.15463487,0.99984755,-0.00256883,-0.01726783,-0.00031253,0.01954555,0.10668831,0.00000000,9.97071255,6.23845052,20.08197975,1.88527658,10.96655261,-0.00430034,-0.00218692,-0.17213833,0.02566298,0.07731743,0.99996126,-0.00129592,-0.00870425,-0.00019606,0.02546710,0.17128494,-0.00000000,9.88884909,103.59591254
-4.51076033,20.08181164,1.92901730,10.14438970,0.03572673,-0.04416666,0.00000000,0.00000000,0.00000000,0.99999845,0.00000000,0.00000000,0.00176090,0.00000000,0.00000000,0.00000000,9.81000000,-3.49632136,20.08538431,1.92460063,10.14438970,0.03572673,-0.04416666,0.00000000,0.00000000,0.00000000,0.99999845,0.00000000,0.00000000,0.00176090,0.00000000,0.00000000,0.00000000,9.81000000,-2.47264886,20.08833463,1.91979437,10.23672501,0.02950314,-0.04806269,0.92335317,-0.06223594,-0.03896031,0.99888450,0.00324192,0.04708683,0.00143943,0.06621994,0.94199114,0.00000000,9.81476800,-1.43050929,20.09004022,1.91420889,10.42139565,0.01705595,-0.05585475,1.84670634,-0.12447188,-0.07792063,0.99558771,0.00638677,0.09361444,0.00081470,0.06441105,0.93286698,0.00000000,9.90652242,-0.36166609,20.08995288,1.90753127,10.68843200,-0.00087343,-0.06677624,2.67036348,-0.17929375,-0.10921487,0.99095536,0.00898421,0.13389085,-0.00004049,0.05388460,0.81076427,0.00000000,10.06321119,0.73052765,20.08838627,1.90033973,10.92193742,-0.01566614,-0.07191533,2.33505423,-0.14792709,-0.05139096,0.99308584,0.00733772,0.11715871,-0.00071223,-0.03095567,-0.33748114,0.00000000,10.03517868,1.83524164,20.08621010,1.89378749,11.04713989,-0.02176163,-0.06552248,1.25202474,-0.06095493,0.06392853,0.99800698,0.00300612,0.06302429,-0.00098298,-0.08498271,-1.08740498,-0.00000000,9.95317769,2.94159921,20.08429637,1.88902535,11.06357570,-0.01913733,-0.04762136,0.16435812,0.02624298,0.17901125,0.99996493,-0.00132057,0.00822495,-0.00086485,-0.08560682,-1.09689960,-0.00000000,9.99039779,4.04341862,20.08309645,1.88648713,11.01819411,-0.01199924,-0.02538215,-0.45381597,0.07138094,0.22239205,0.99973812,-0.00354242,-0.02260171,-0.00054438,-0.04412912,-0.61660680,0.00000000,10.04290468,5.14179526,20.08240978,1.88549527,10.98376644,-0.00686664,-0.00991866,-0.34427665,0.05132596,0.15463487,0.99984755,-0.00256883,-0.01726783,-0.00031253,0.01954555,0.10668831,0.00000000,9.97071255,6.23845052,20.08197975,1.88527658,10.96655261,-0.00430034,-0.00218692,-0.17213833,0.02566298,0.07731743,0.99996126,-0.00129592,-0.00870425,-0.00019606,0.02546710,0.17128494,-0.00000000,9.88884909,103.59591254
-4.51076033,20.08181164,1.92901730,10.13970332,0.30111465,0.09954599,0.00000000,0.00000000,0.00000000,0.99988983,0.00000000,0.00000000,0.01484339,0.00000000,0.00000000,0.00000000,9.81000000,-3.49679000,20.11192310,1.93897190,10.13970332,0.30111465,0.09954599,0.00000000,0.00000000,0.00000000,0.99988983,0.00000000,0.00000000,0.01484339,0.00000000,0.00000000,0.00000000,9.81000000,-2.47354702,20.13805600,1.95352900,10.23242980,0.26132894,0.14557101,0.92726479,-0.39785703,0.46025019,0.99872001,0.01987239,0.04473080,0.01275122,0.40899961,0.88982362,-0.00000000,10.31969715,-1.43175874,20.15623175,1.97729111,10.41788275,0.18175754,0.23762105,1.85452958,-0.79571406,0.92050039,0.99564568,0.03733896,0.08497087,0.00868470,0.36088182,0.80217431,-0.00000000,10.91861161,-0.36315415,20.16253777,2.01386675,10.68604593,0.06306016,0.36575642,2.68163172,-1.18697380,1.28135364,0.99165532,0.05251387,0.11770072,0.00292594,0.31702037,0.65353091,0.00000000,11.47249673,0.72889387,20.15382838,2.05530956,10.92048023,-0.08709386,0.41442816,2.34434308,-1.50154017,0.48671748,0.99128867,0.07056155,0.11114051,-0.00395284,0.37475434,-0.13590589,-0.00000000,10.66644075,1.83350024,20.12745273,2.08621842,11.04606369,-0.26375655,0.30908859,1.25583459,-1.76662693,-1.05339572,0.99257836,0.09779989,0.07129505,-0.01184864,0.56071576,-0.80103019,-0.00000000,9.02087633,2.93973336,20.08082537,2.09123121,11.06233118,-0.46627362,0.05012785,0.16267486,-2.02517062,-2.58960746,0.99039061,0.13601598,0.01381431,-0.02086306,0.79076297,-1.14696929,0.00000000,7.50078980,4.04138308,20.01479190,2.06478145,11.01649724,-0.66033463,-0.26449758,-0.45833936,-1.94061016,-3.14625422,0.98900827,0.14191877,-0.02906375,-0.02961426,0.14346049,-0.87016650,-0.00000000,6.95568477,5.13955753,19.93551606,2.01648594,10.98174444,-0.79275846,-0.48295510,-0.34752806,-1.32423825,-2.18457525,0.99541118,0.08655765,-0.01941204,-0.03588206,-1.12399913,0.13763758,-0.00000000,7.74735344,6.23599433,19.84961902,1.95726755,10.96436803,-0.85897037,-0.59218386,-0.17376403,-0.66211913,-1.09228763,0.99846914,0.03824770,-0.00845489,-0.03905120,-0.97709674,0.17625412,-0.00000000,8.74454714,107.08739139
-4.51076033,20.08181164,1.92901730,10.09066079,1.03706433,-0.39094003,0.00000000,0.00000000,0.00000000,0.99868918,0.00000000,0.00000000,0.05118517,0.00000000,0.00000000,0.00000000,9.81000000,-3.50169425,20.18551807,1.88992330,10.09066079,1.03706433,-0.39094003,0.00000000,0.00000000,0.00000000,0.99868918,0.00000000,0.00000000,0.05118517,0.00000000,0.00000000,0.00000000,9.81000000,-2.48249333,20.27672364,1.85410574,10.19200923,0.91205567,-0.35817561,1.01348435,-1.25008655,0.32764425,0.99591106,0.06323067,0.04674718,0.04447185,1.30641010,0.87850478,-0.00000000,10.26458464,-1.44302272,20.34292748,1.82484106,10.39470610,0.66203836,-0.29264676,2.02696869,-2.50017311,0.65528849,0.98839251,0.11837336,0.08988493,0.03144348,1.14898877,0.81619744,0.00000000,10.94905160,-0.37425220,20.37295525,1.80512819,10.68770521,0.30027776,-0.19712867,2.92999114,-3.61760598,0.95518089,0.97915161,0.15926500,0.12533020,0.01375223,0.87308276,0.66561126,0.00000000,11.72864189,0.72000726,20.37105363,1.79473991,10.94259460,-0.01901622,-0.10388287,2.54889393,-3.19293982,0.93245802,0.98353530,0.14113367,0.11286661,-0.00085460,-0.33148883,-0.30151744,-0.00000000,11.49313400,1.82766005,20.35141830,1.79136758,11.07652785,-0.19635332,-0.03372324,1.33933244,-1.77337105,0.70159626,0.99453979,0.08242005,0.06340232,-0.00881440,-1.16067169,-1.03105490,0.00000000,10.74394305,2.93656094,20.32831062,1.79267662,11.08900889,-0.23107675,0.01309036,0.12481046,-0.34723423,0.46813600,0.99978479,0.01681959,0.00624427,-0.01041581,-1.30187620,-1.16054283,-0.00000000,10.28475711,4.03987306,20.30998377,1.79685470,11.03312123,-0.18326850,0.04178079,-0.55887667,0.47808243,0.28690434,0.99930473,-0.02339757,-0.02781603,-0.00829903,-0.79922230,-0.68703832,-0.00000000,10.12365464,5.13898749,20.29537820,1.80289905,10.99114425,-0.14605572,0.06044349,-0.41976977,0.37212785,0.18662702,0.99958517,-0.01845100,-0.02109388,-0.00664120,0.09902664,0.13438558,-0.00000000,10.01235425,6.23600306,20.28263327,1.80987653,10.97015576,-0.12744933,0.06977484,-0.20988488,0.18606393,0.09331351,0.99988292,-0.00932951,-0.01064789,-0.00580804,0.18160844,0.20971727,0.00000000,9.90728469,110.15648467
-4.51076033,20.08181164,1.92901730,10.11074458,0.35756748,-0.98472899,0.00000000,0.00000000,0.00000000,0.99984380,0.00000000,0.00000000,0.01767426,0.00000000,0.00000000,0.00000000,9.81000000,-3.49968587,20.11756839,1.83054440,10.11074458,0.35756748,-0.98472899,0.00000000,0.00000000,0.00000000,0.99984380,0.00000000,0.00000000,0.01767426,0.00000000,0.00000000,0.00000000,9.81000000,-2.47862015,20.14714758,1.75448006,10.21065722,0.29579195,-0.76064345,0.99912641,-0.61775531,2.24085540,0.99871527,0.02613587,0.04093362,0.01446283,0.53472660,0.81133602,-0.00000000,12.10797221,-1.43757190,20.16437167,1.72323282,10.41048250,0.17224089,-0.31247237,1.99825283,-1.23551063,4.48171080,0.99664950,0.04336524,0.06885684,0.00824419,0.35502690,0.55351723,-0.00000000,14.48352507,-0.36765955,20.16333780,1.75588017,10.69912346,-0.01033867,0.32647351,2.88640959,-1.82579556,6.38945884,0.99460763,0.05539798,0.08767268,-0.00048055,0.25355536,0.37055875,-0.00000000,16.55558384,0.72709823,20.14133656,1.83277586,10.94757787,-0.22001240,0.76895689,2.48454410,-2.09673728,4.42483377,0.99365445,0.07139040,0.08633980,-0.00998368,0.33614108,-0.03253882,0.00000000,14.60136154,1.83436008,20.09771881,1.90929058,11.07261849,-0.43617751,0.76514723,1.25040619,-2.16165113,-0.03809654,0.99199300,0.10675481,0.06458973,-0.01953094,0.72834642,-0.43250750,0.00000000,10.08594807,2.94173830,20.03191547,1.94079645,11.07378221,-0.65803340,0.31505866,0.01163715,-2.21855887,-4.50088575,0.98004723,0.19650421,0.00686506,-0.02909284,1.84207005,-1.12149354,0.00000000,5.75402755,4.04238925,19.94610086,1.90773327,11.00650945,-0.85814615,-0.33063172,-0.67272751,-2.00112756,-6.45690382,0.96006335,0.26605969,-0.07806466,-0.03736999,1.48136174,-1.67014762,0.00000000,3.96236391,5.13806254,19.84670154,1.82939584,10.95673291,-0.99399323,-0.78337439,-0.49776540,-1.35847073,-4.52742665,0.99006659,0.12707477,-0.04014409,-0.04481733,-2.88205276,0.61841226,-0.00000000,5.47711551,6.23124700,19.74050986,1.72842126,10.93184464,-1.06191676,-1.00974572,-0.24888270,-0.67923537,-2.26371332,0.99768795,0.04559326,-0.01424394,-0.04834381,-1.66228243,0.43222859,-0.00000000,7.58088028,111.76150413
