time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
1.59500000,-12.09456026,20.03578146,1.93366320,9.42668536,0.05043207,-0.01662588,-0.26829908,-0.00000000,0.00000002,0.99908619,0.00001110,0.04169282,0.00940716,-0.02934661,-0.47286097,0.03129535,72,0.00000000
1.67600000,-11.33479701,20.03987522,1.93125398,9.33249876,0.05088631,-0.03993703,-0.27973986,-0.00000000,0.00000001,0.99932458,-0.00094061,0.03514865,0.01068047,-0.02281531,0.12404251,0.02962402,76,0.00000000
1.73600000,-10.77692627,20.04296527,1.92861897,9.26623012,0.05223318,-0.04622990,-0.15486289,-0.00000000,0.00000001,0.99894302,-0.00149828,0.04446403,0.01155591,-0.00871717,0.46614774,0.02843254,78,0.00000000
1.80000000,-10.18570624,20.04637747,1.92570114,9.21429823,0.05448711,-0.04351155,-0.01994039,-0.00000000,0.00000000,0.99793704,-0.00175269,0.06296341,0.01241763,0.01001441,0.66549886,0.02736969,81,0.00000000
1.86000000,-9.63369463,20.04972255,1.92343459,9.19117990,0.05703662,-0.02762192,0.00493765,-0.00000000,0.00000000,0.99630311,-0.00155750,0.08487806,0.01316789,0.03078908,0.90150780,0.02808791,86,0.00000000
1.94000000,-8.89789567,20.05442365,1.92275463,9.21570080,0.06038178,0.00904324,0.04127714,-0.00000000,0.00000000,0.99171291,-0.00054566,0.12770011,0.01406740,0.04917230,1.13502496,0.02772943,90,0.00000000
2.00000000,-8.34312564,20.05810832,1.92389640,9.28181766,0.06229608,0.02691140,0.07065641,0.00000000,-0.00000000,0.98728177,0.00057445,0.15830168,0.01466125,0.05666374,0.90056993,0.02652508,92,0.00000000
2.06000000,-7.78337920,20.06187941,1.92573438,9.37836966,0.06320440,0.03210017,0.12605499,0.00000000,-0.00000000,0.98399125,0.00188916,0.17755851,0.01518663,0.04858162,0.40654544,0.02440496,95,0.00000000
2.14000000,-7.02726498,20.06691923,1.92805604,9.52241895,0.06240633,0.02399900,0.21641055,-0.00000000,0.00000000,0.98357493,0.00347961,0.17977334,0.01580498,0.02388345,-0.26369001,0.02050881,99,0.00000000
2.20000000,-6.45288916,20.07060752,1.92916679,9.61867713,0.06039682,0.01312465,0.29292510,-0.00000000,0.00000000,0.98594741,0.00418078,0.16621215,0.01624032,-0.00233095,-0.63010123,0.01739614,102,0.00000000
2.26000000,-5.87342562,20.07415069,1.92964709,9.69094767,0.05768225,0.00342158,0.37407145,0.00000000,-0.00000000,0.98930312,0.00424107,0.14485544,0.01668068,-0.02699792,-0.78359780,0.01481581,105,0.00000000
2.34000000,-5.09572253,20.07861776,1.92952067,9.74267669,0.05417704,-0.00586002,0.45747703,-0.00000000,0.00000000,0.99318721,0.00330292,0.11519287,0.01728741,-0.04882810,-0.67399941,0.01179692,108,0.00000000
2.40000000,-4.51076033,20.08181164,1.92901730,9.75255888,0.05250032,-0.01042554,0.54095507,-0.00000000,0.00000000,0.99494771,0.00212722,0.09879454,0.01772456,-0.05110497,-0.42415441,0.00996282,111,0.00000000
2.46000000,-3.92571537,20.08494242,1.92832009,9.74745578,0.05209635,-0.01211710,0.62249964,-0.00000000,0.00000000,0.99569495,0.00086848,0.09089819,0.01811977,-0.04255404,-0.10015742,0.00847122,114,0.00000000
2.54000000,-3.14638031,20.08915852,1.92743739,9.73734957,0.05366717,-0.00883139,0.72507945,0.00000000,-0.00000000,0.99527578,-0.00042851,0.09530116,0.01853699,-0.01832350,0.30505595,0.00694854,118,0.00000000
2.60000000,-2.56208811,20.09244928,1.92710655,9.74162161,0.05612185,-0.00175246,0.79528941,0.00000000,-0.00000000,0.99399979,-0.00084956,0.10776021,0.01874659,0.00393949,0.50975302,0.00641498,121,0.00000000
2.66000000,-1.97699133,20.09590692,1.92728215,9.76477134,0.05912394,0.00761933,0.85812031,0.00000000,-0.00000000,0.99202985,-0.00070821,0.12458042,0.01886770,0.02513298,0.58714963,0.00618204,124,0.00000000
2.74000000,-1.19344930,20.10079500,1.92837433,9.82928881,0.06288310,0.01896985,0.92822479,-0.00000000,0.00000000,0.98890977,0.00026934,0.14730940,0.01890352,0.04236101,0.52000622,0.00558541,128,0.00000000
2.80000000,-0.60162145,20.10463102,1.92968178,9.89972994,0.06477210,0.02386041,0.95667549,-0.00000000,0.00000000,0.98687505,0.00138246,0.16037496,0.01885734,0.04685264,0.34782167,0.00470701,130,0.00000000
2.86000000,-0.00517736,20.10854395,1.93113379,9.98158073,0.06543182,0.02373400,0.99029470,0.00000000,-0.00000000,0.98571786,0.00255849,0.16733560,0.01877623,0.04042396,0.11546510,0.00335849,133,0.00000000
2.94000000,0.79792957,20.11374806,1.93286561,10.09399585,0.06434549,0.01918595,1.01695283,-0.00000000,0.00000000,0.98588558,0.00376995,0.16633435,0.01866270,0.01909753,-0.14647650,0.00132130,137,0.00000000
3.00000000,1.40597731,20.11755431,1.93387943,10.17143282,0.06245701,0.01466220,1.02244820,-0.00000000,0.00000000,0.98692947,0.00415981,0.16002065,0.01860914,-0.00123888,-0.26072305,-0.00009404,140,0.00000000
3.06000000,2.01835798,20.12123464,1.93462207,10.23817418,0.06025062,0.01024118,1.01492830,0.00000000,-0.00000000,0.98827821,0.00402851,0.15147299,0.01859813,-0.02018606,-0.29745245,-0.00121180,143,0.00000000
3.14000000,2.84041307,20.12594992,1.93523732,10.30899696,0.05784552,0.00545556,0.98399674,0.00000000,-0.00000000,0.98991543,0.00314446,0.14039124,0.01865082,-0.03439608,-0.24245821,-0.00193703,147,0.00000000
3.20000000,3.46026411,20.12939047,1.93548255,10.35066753,0.05701532,0.00290261,0.94479532,0.00000000,-0.00000000,0.99075113,0.00222623,0.13437577,0.01871869,-0.03579420,-0.15672499,-0.00184875,150,0.00000000
3.26000000,4.08240630,20.13281261,1.93560010,10.38605748,0.05722364,0.00113230,0.91096636,-0.00000000,0.00000000,0.99119535,0.00131764,0.13106038,0.01879432,-0.02939687,-0.07038185,-0.00125360,152,0.00000000
3.34000000,4.91513050,20.13745533,1.93614473,10.43491814,0.05990834,0.03416203,-1.63311921,6.40928833,0.23954159,0.99137118,-0.00682102,0.12946128,0.01940197,-1.08432982,-0.03492886,-0.07207534,156,0.00000000
3.40000000,5.54264994,20.14214842,1.94086682,10.48761014,0.11491749,0.15885517,-2.22231857,7.85392965,0.33509877,0.98844287,-0.07373308,0.13073694,0.02125978,-3.12778423,0.16035633,-0.35983956,159,0.00000000
3.46000000,6.17402986,20.15474586,1.95734595,10.55587984,0.33535290,0.38839557,-2.24648991,8.35779261,0.42915818,0.97437558,-0.18574309,0.12491388,0.02209671,-4.20421725,-0.33515509,-0.56392839,162,0.00000000
3.54000000,7.02070711,20.20502038,1.99941201,10.59082431,0.96808398,0.61364907,-1.72923788,6.59186042,1.17074995,0.92802414,-0.36098855,0.08790600,0.02703689,-4.40209963,-1.09386494,-0.59300776,166,0.00000000
3.60000000,7.65445466,20.28162685,2.03558783,10.51955078,1.58638816,0.56632001,-1.75150763,5.93934573,1.04047227,0.88753655,-0.45768870,0.03663474,0.03818131,-2.75152468,-1.96010160,-0.50576555,169,0.00000000
3.66100000,8.29121250,20.39846037,2.06491343,10.34469190,2.21930802,0.37550710,-1.30124811,4.60611920,0.77547200,0.86179539,-0.50232444,-0.03517531,0.06116833,-0.84269049,-2.53645946,-0.38753837,172,0.00000000
3.74100000,9.10687814,20.60051235,2.07803133,10.01925070,2.81958549,-0.03051436,-1.44496278,5.08519268,-0.64599027,0.86762577,-0.46852426,-0.12452507,0.11047191,1.48373030,-2.45295345,0.01096628,175,0.00000000
3.80100000,9.69726503,20.78322217,2.06891074,9.68049487,3.21877281,-0.29101896,-0.86124174,3.20652283,-0.19517120,0.88000284,-0.41610471,-0.17444561,0.14839338,2.31884083,-2.02502851,0.12084233,178,0.00000000
3.86100000,10.26769788,20.98497135,2.04335708,9.31361560,3.50434050,-0.52462912,-0.58733055,2.28970416,0.05377069,0.90073981,-0.32856298,-0.20706395,0.19452167,3.50483571,-1.61132654,0.38694888,180,0.00000000
3.94100000,10.98702420,21.27871591,1.99847832,8.68863317,3.79147087,-0.57601755,0.87011307,-0.75384258,-0.69268446,0.93027960,-0.18130191,-0.19924468,0.24902015,4.18253455,-0.02171065,0.21126256,184,0.00000000
4.00100000,11.49922078,21.50766637,1.95907313,8.42847814,3.81708054,-0.77858799,1.62202920,-1.29164413,-2.30110588,0.94633292,-0.06061222,-0.15859836,0.27500314,4.47694512,-0.16505938,0.13945793,186,0.00000000
4.06100000,11.99845143,21.73480165,1.90718478,8.21875301,3.73397542,-0.93095255,1.57550944,-0.97541086,-3.57505289,0.94036508,0.07363312,-0.13767864,0.30221892,4.64739371,-0.99192312,0.37748072,188,0.00000000
